urlid,label
5865,0.8617311841637816
782,0.2033111358745517
6962,0.36385557531373464
7640,0.1628312410277211
3589,0.40650118575595073
6719,0.4340604153769855
3905,0.33035256101481675
9841,0.9495497278639231
7447,0.1503537499818228
4776,0.32017321798000536
2879,0.5505537052998528
2620,0.3862748818631814
10479,0.17404809566238716
1105,0.2165723007819787
1849,0.439221515867905
8286,0.6253653992405809
8344,0.9153808096233352
10486,0.9429174320066156
8661,0.971739782810656
7188,0.2713173985780886
1433,0.9744293571093482
677,0.6785103578343227
469,0.8407983544227844
6988,0.13694519771326336
8024,0.1109751238684418
6896,0.33158767235186026
9154,0.3284276420524479
342,0.597920739428874
50,0.2395920132472646
983,0.1138756900899979
6933,0.2507787845100896
8271,0.15337425062703133
5602,0.2590749773853133
4505,0.2502735667754785
4966,0.9286470823731056
2390,0.23969741228119681
6736,0.534624909805792
4660,0.9165938271211567
7560,0.8442672701189332
3840,0.4124554645169875
5823,0.8204955885979132
5789,0.9479064707435121
1595,0.22001728423870498
6770,0.6809374252647981
3522,0.8784317982642337
5584,0.839761944178094
8323,0.8286819048211285
3862,0.5557547366139021
373,0.2994368764234638
7345,0.30776743293476966
7708,0.8957293991277783
1398,0.862080187285607
4298,0.25158888708150284
7467,0.08816401611969772
1878,0.8088538436202838
1832,0.14708859017015521
625,0.29915079602886896
7438,0.2028569839045516
9961,0.9135501946413165
7117,0.24264800624809535
8190,0.20069953758918596
1713,0.69957122639478
949,0.1555571104898711
9246,0.1707763795269619
2326,0.21905704280294971
8942,0.20346432951546395
4458,0.6278969968750451
4659,0.43209720323292056
9522,0.2481045668022811
2497,0.8833588888999435
9836,0.33341416678855196
3808,0.9230917193094655
5575,0.8995415215834606
5714,0.3511136880858262
2490,0.8542130555323652
6812,0.29033599771154106
4335,0.18046744930527425
10014,0.9511670289940554
5889,0.7355849325726432
482,0.9228417477796587
8082,0.09220112110662829
5856,0.9277282872511958
8866,0.5195252289621646
2624,0.9456553529590321
1371,0.8628166451863962
4436,0.17454119388893408
2972,0.9625966407817123
3638,0.8441877026998176
6249,0.6875214221083601
7602,0.17726989244780825
9624,0.9551033814381303
7567,0.2684055190498999
6578,0.3022447609455655
7590,0.7500923397958283
8590,0.87818802091906
10520,0.8069256938455531
1906,0.3932956148270744
1373,0.2535200032185135
1601,0.897120712488047
4754,0.21401276138071879
8208,0.28259336107223293
1658,0.9301623516257441
1352,0.9488712892240385
8143,0.861680104951375
7760,0.586431947784312
7836,0.5325467037495021
9769,0.2961151736117358
503,0.6982165255822383
4909,0.17573214874172632
7162,0.22236461827081525
10035,0.6128182187979409
1992,0.5773858303112988
6133,0.2757552992583001
8519,0.2640185408812605
1879,0.41474814961128187
7107,0.35545150982230195
1225,0.5897689277162217
2451,0.7874710967748024
8252,0.1408392605225351
9214,0.7227225762990871
4850,0.9407515491068703
5891,0.14360117315591495
5274,0.37230917767660715
8623,0.07798284309421981
562,0.8786169919635307
860,0.25880868213322517
4199,0.9012330204650937
7616,0.32371100334947983
10544,0.4036147739290021
1567,0.9196732921110092
6552,0.1708696682743041
954,0.21353163961119798
111,0.3025073893363584
7036,0.685488936012402
1995,0.950998104720475
7095,0.2413650341311833
10180,0.5419838572465798
6872,0.8946598705083938
4805,0.9331472120730765
355,0.7422641763088705
8097,0.9324320781030361
9271,0.8984566257425737
431,0.31208229931846
1646,0.6140102261261783
